Id;Nama Makanan;Harga;Deskripsi;Gambar
1;Nasi Goreng Campur;24.300;Nasi Goreng+Ayam+Udang+Cumi+Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617252074249/detail/menueditor_item_1c824c413b604a6196561f63e6437bca_1692206619595649206.webp
2;Nasi Goreng Spesial;19.800;Nadi Goreng+Ayam+Bakso+Telor Campur+Telor Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081616290665885/detail/menueditor_item_e8caf6f1df40489198c6dd678f414e66_1692203333835595876.webp
3;Nasi Goreng Seafood;22.200;Nasi Goreng+Udang+Cumi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617121831252/detail/menueditor_item_e60f90daee554cba8bc1ae8183fc6d29_1692205931251029673.webp
4;Nasi Goreng Sapi;23.100;Nasi Goreng+Daging Sapi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617150065710/detail/menueditor_item_0468d4b98afe4aec978805f285a7c457_1692206081131891505.webp
5;Nasi Goreng Ikan Asin;22.500;Nasi Goreng+Teri Medan+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617222524771/detail/menueditor_item_a42eef778d6d435c9c6fa7a6f6b5bdeb_1692206422467188976.webp
6;Nasi Goreng Ati Ampla;20.700;Nasi Goreng+Ati+Ampla+Bakso+Krupuk. Gambar Hanya Pemanis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617173602163/detail/menueditor_item_79ff5882513947e69c5610a86c339fee_1692206239138500873.webp
7;Nasi Goreng Ayam;18.900;Nasi Goreng+Ayam+Bakso+Telor Campur+Kerupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081616245238010/detail/menueditor_item_23355e8467324c6aa55ffcff4e2ec475_1692203074193689456.webp
8;Nasi Goreng Sosis;18.000;Nasi Goreng+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617194624926/detail/menueditor_item_e562214ec10f4a65b1d0e2f7a8b01ebc_1692206302307722789.webp
9;Nasi Goreng Mawut Ayam;21.600;Nasi Goreng Campur Mie+Ayam+Bakso+Telur Canpur+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620494370956/detail/menueditor_item_25c825989b794ee3afb12eeb3dcc9911_1692219987772623497.webp
10;Nasi Goreng Mawut Seafood;24.300;Nasi Goreng campur Mie+Udang+Cumi+Bakso+Telur Campur+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620505553929/detail/menueditor_item_0086c0aabef246c2adf3dd0c29c72205_1692220008088029251.webp
11;Nasi Goreng Mawut Sapi;24.300;Nasi Goreng Campur Mie+Daging Sapi+Bakso+Telur Campur+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620520190923/detail/menueditor_item_cd84acb62c344273a4c226d11619305b_1692220028367668963.webp
12;Nasi Goreng Gila Ayam;20.100;Nasi Goreng Siram Saus Mentega Isi Ayam+Bakso+Sosis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617293268324/detail/menueditor_item_aabf46d2c91046b6bc83fac260218716_1692212163067990387.webp
13;Nasi Goreng Gila Seafood;21.900;Nasi Goreng Siram Saus Mentega Isi Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617334477853/detail/menueditor_item_de9673d6d22540ea81b609a3b15e2357_1692207221937191105.webp
14;Nasi Goreng Gila Sapi;24.300;Nasi Goreng Siram Saus Mentega Isi Daging Sapi+Bakso+Sosis+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617362187735/detail/menueditor_item_5dab57535b6c4935af0a3d16e31348cd_1692207265841289710.webp
15;Nasi Goreng Ayam Lada Hitam;22.500;Nasi Goreng Tanpa Kecap Siram Saus Lada Hitam Isi Ayam+Bakso+Sosis+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617431410529/detail/menueditor_item_2930d3bc817d42d48bb9269b17a1e131_1692207714745205468.webp
16;Mie Goreng Sapi;23.400;Mie Goreng+Daging Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619254977769/detail/menueditor_item_1b53de5f552747fea2be003594efbbd0_1692219469841161333.webp
17;Mie goreng Campur;25.200;Mie Goreng+Ayam+Sapi+Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619284471899/detail/menueditor_item_596a6e37b134488eaeb3eb23494a560b_1692219500274012861.webp
18;Mie Goreng Sosis;20.100;Mie Goreng+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619301996066/detail/menueditor_item_aadf5d79806546e18e983a41e9c20d8a_1692219585063023723.webp
19;Mie Rebus;20.700;Mie Rebus Isi Ayam+Bakso+Sayuran+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619313252010/detail/menueditor_item_e5056c111b13497f974de07566529520_1692219671090976887.webp
20;Kwetiau Rebus Ayam;20.700;Kwetiau Rebus=Sayuran+Ayam+Bakso+Telur Campur;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619572412159/detail/menueditor_item_8cb8d62f2a8e488fb2a37288ef2017dd_1692276070657305368.webp
21;Ifomie Ayam;21.900;Mie Kering+Siram Sayuran Isi Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619325067986/detail/menueditor_item_9a69b16b7805449c8140ca89a7427928_1692220085445947221.webp
22;Nasi Goreng Seafood Lada Hitam;24.300;Nasi Goreng Putih Siram Saus Lada Hitam Isi Udang+Cumi+Bakso+Sosis+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081618551490489/detail/menueditor_item_ae0cf74e36fd4fa395914a9e80b5e87f_1692212007240775368.webp
23;Nasi Goreng Sapi Lada Hitam;24.300;Nasi Goreng Putih Siram Saus Lada Hitam Isi Sapi+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081618521678618/detail/menueditor_item_3491813b5aaa4ece9ea8811e6719594d_1692211852970927362.webp
24;Mie Goreng Ayam;18.900;Mie Goreng+Ayam+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619034056208/detail/menueditor_item_c184a00c48b14215a416b15e320b530e_1692212614980556726.webp
25;Mie Goreng Spesial;21.300;Mie Goreng+Ayam+Bakso+dobel Telor,Campur+Dadar;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619222007309/detail/menueditor_item_28794517bb7a4dd89906378ac6f83a4b_1692219389903456843.webp
26;Mie Goreng Seafood;22.500;Mie Goreng+Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619231669780/detail/menueditor_item_25a3785013b8420586cf57d92923b2a6_1692219429512946604.webp
27;Lo Mie;21.300;Mie Siram Sayuran Isi Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619334698192/detail/menueditor_item_81b6fe8f00604cc0b0e92bd79f7f3682_1692222754690467843.webp
28;Bihun Goreng Ayam;19.500;Bihun Goreng+Sayuran+Ayam+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619361227616/detail/2980b7ec8978473f9639cfd4979b3b5a_1692507185074487745.webp
29;Bihun Goreng Spesial;21.300;Bihun Goreng+Ayam+Bakso+Dobel Telor Campur Dan Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619373181371/detail/1a68af9046794893a7394ac4abc43397_1692507185067148609.webp
30;Bihun Goreng Seafood;22.500;Bihun Goreng+Sayuran+Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619394802022/detail/4115e76d70ec41d2a1c03200819dc94a_1692507185522768029.webp
31;Bihun Goreng Sapi;23.400;Bihun Goreng+Sayuran+Daging Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619415015544/detail/menueditor_item_002620fe28f54c7588dbac31dfaa0c6f_1692274840274909053.webp
32;Bihun Goreng Campur;25.200;Bihun Goreng+Sayuran+Ayam+Udang+Cumi+Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619452000508/detail/menueditor_item_ee64c19c24f64a9886a1fe30c5a7ef2a_1692274870825642691.webp
33;Bihun Goreng Sosis;18.900;Bihun Goreng+Sayuran+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619432474731/detail/menueditor_item_66862f77cf03451b95036a9b5dfaa26f_1692275111706622631.webp
34;Bihun Rebus;20.700;Bihun Rebus=Sayuran+Ayam+Bakso+Telur Campur;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619484713840/detail/menueditor_item_870d6bafea88439f8871c85a3c32c339_1692275234457152192.webp
35;Kwetiau Siram Ayam;20.400;Kwetiau Siram=Sayuran+Ayam+Bakso+Telur Campur;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619584026523/detail/menueditor_item_d78d6d95d03c4f9e9b4b1195af7abe54_1692276243900722339.webp
36;Bihun Siram;20.400;Bihun Siram Sayuran+Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619465998870/detail/menueditor_item_6ef73fa5118a4832935eb6b35476cbed_1692275277447970965.webp
37;Kwetiau Goreng Ayam;18.900;Kwetiau Goreng= Sayuran+Ayam+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619502791901/detail/menueditor_item_9754fce4af9845678ca98b7ba62f34cb_1692275318324668751.webp
38;Capcay Goreng Ayam;21.300;Sayuran Capcay+Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620005746593/detail/menueditor_item_8733e6acfd0f4c92b16ba52790176270_1692276273984050643.webp
39;Capcay Kuah Ayam;21.300;Capcay Kuah+Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620013920056/detail/menueditor_item_13426271d3eb44c390c45841fe1d029a_1692276297898644898.webp
40;Capcay Goreng Seafood;24.300;Sayuran+Udang+Cumi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620034689154/detail/menueditor_item_ccbeab74d6c44aa496431eef8f0b6678_1692276584900243712.webp
41;Kwetiau Goreng Spesial;21.300;Kwetiau Goreng=Sayuran+Ayam+Bakso+Dobel Telor,Campur Dan Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619514889926/detail/menueditor_item_9203e808bbb8492e9e6e0508fa5edf66_1692275427149226092.webp
42;Capcay Kuah Seafood;24.300;Sayuran+Udang+Cumi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620043951796/detail/menueditor_item_6ea2f6a4d9b945858c6f563b6ad18a0e_1692276614008645085.webp
43;Kwetiau Goreng Seafood;22.500;Kwetiau Goreng=Sayuran+Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619524283016/detail/menueditor_item_265da080dc19427fa7d9702daab45913_1692275458706944563.webp
44;Capcay Goreng Sapi;24.300;Sayuran+Daging Sapi+Bakso Sapi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620053122421/detail/menueditor_item_84d055eeaaf6413cb863f82ff27554ac_1692276636220326270.webp
45;Kwetiau Goreng Sapi;23.400;Kwetiau Goreng=Sayuran+Daging Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619534355242/detail/menueditor_item_722120be2bc94190a3dc4504f4297a6b_1692275518652416919.webp
46;Capcay Kuah Sapi;24.300;Sayuran+Daging Sapi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620062194621/detail/menueditor_item_2ea5074e57184e2c92fc7bab8a135af0_1692276657186371619.webp
47;Nasi Capcay Ayam;24.300;Nasi Di Goreng Siram Sayuran+Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620082800498/detail/menueditor_item_d74be44cc6cb4ebaa128f91b483c6fdf_1692276681386458250.webp
48;Nasi Capcay Seafood;24.900;Nasi Goreng Putih Siram Sayuran Capcay+Udang+Cumi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620095306077/detail/menueditor_item_5b1c67ce1f1b4d818d30e4776c8ed6b8_1692276983026733392.webp
49;Nasi Capcay Sapi;24.900;Nasi Goreng Putih Siram Sayuran Capcai+Daging Sapi+Bakso Sap. gambar hanya pemanisi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620104095882/detail/menueditor_item_45f6b785eb7541d381b481e32740ef5f_1692277025229406953.webp
50;Sapo Tahu Sapi;23.100;Sayuran+Tofu+DagingSapi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620174763200/detail/menueditor_item_40918ad3d6ee4dd790f0898cc72a6de3_1692277068927070612.webp
51;Kwetiau Goreng Campur;25.200;Kwetiau Goreng=Sayuran+Ayam+Sapi+Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619550643565/detail/menueditor_item_2c06ca6f957f4255b29c8d9f7acfe2f5_1692275840964232068.webp
52;Sapo Tahu Seafood;23.100;Sayuran+Tofu+Udang+Cumi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620170780269/detail/menueditor_item_6007ae582440432e8e8c0d2f505d46f6_1692277089013760939.webp
53;Sapo Tahu Ayam;20.700;Sayuran+Tofu+Ayam;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620155749703/detail/menueditor_item_d6f947fc2547423c9fdc940738526a77_1692277114824499680.webp
54;Sapo Tahu Polos;19.200;Sayuran+Tofu;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620152164398/detail/menueditor_item_4754a9a9d4614009a5bf21bb6bbaf8c0_1692277148912162863.webp
55;Kangkung Cah Sapi;21.600;Kangkung+Daging Sapi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620205058122/detail/menueditor_item_f55f2f41720f48448357d3356a6ed9bf_1692282921117424754.webp
56;Kangkung Cah Seafood;21.600;Kangkung+Udang+Cumi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620201820638/detail/menueditor_item_06cacd7272bf4b8a87afbbabae4c85e1_1692282820916446097.webp
57;Kangkung Cah Ayam;20.100;Kangkung+Ayam;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620193153447/detail/menueditor_item_3413325fcf46465cac740758dff37b3f_1692280993371124303.webp
58;Kangkung Cah Polos;18.000;Kangkung tanpa Daging Dan Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620185522479/detail/menueditor_item_62cf514815e34daf96ddd29062f0dc42_1692280971618180437.webp
59;Telur goreng Udang;13.200;Daging Sapi Cincang Goreng Tepung, Potong2+Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715262307599/detail/menueditor_item_3947f61a78014e979bb4821450b3ff99_1692285949797492785.webp
60;Telur Rica;13.200;Kwetiau Goreng=Sayuran+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715250311136/detail/menueditor_item_896e4fee9a64431ba499d5de0c9b8fef_1692285856740820707.webp
61;Telur Dadar;7.200;Ayam Cincang Goreng Tipis Potong+Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715235808142/detail/menueditor_item_e3f6598140f74b89a37f67d004fcc01d_1692285794823867003.webp
62;Telur Ceplok/Mata Sapi;9.000;Sayuran+Ayam Cincang Goreng Tepung+Saus Asam Manis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715224944870/detail/menueditor_item_9bb594d352a9499f8ca2147b6c52d29f_1692285720298347115.webp
63;Bistik Sapi;30.000;Potongan Ayam Pilet Goreng Tepung Saus Asam Manis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715211524020/detail/menueditor_item_cca37c57977647399af6181974299aaa_1692285601825125301.webp
64;Kwetiau Goreng Sosis;20.100;Potongan Ayam Pilet Goreng Tepung Saus Tiram;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619560404503/detail/menueditor_item_10825b1db2824a91a50a1f1b2903649a_1692276025342199649.webp
65;Bistik Ayam;30.000;Potongan Ayam Pilet Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715194318666/detail/menueditor_item_9ab371ba4baf4586b4842adfefb16784_1692285532918647299.webp
66;Fuyunghai Ayam;30.000;Udang Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715170095782/detail/menueditor_item_7af01cabe367473db270171824e73e32_1692285414554301110.webp
67;Ayam Kuluyuk;29.100;Udang Goreng Tepung Saus Kecap;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620272977724/detail/menueditor_item_270de70fc155408292f8aaf0f5b8b3a3_1692283301450771216.webp
68;Ayam Tepung Saus Tiram;29.100;Udang Goremg Tepung Saus Tiram;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620261707758/detail/menueditor_item_8eafe8c938114728bccc885738c4d6bb_1692283280060474301.webp
69;Ayam Goreng Tepung;29.100;Udang Goreng Tepung Saus Rica/Padang;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620250643115/detail/menueditor_item_07057215e3304dde813982397aa1c06a_1692283104843472257.webp
70;Udang Tepung Mentega;29.100;Udang Goreng Tepung Saus Asam Manis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620295333218/detail/menueditor_item_3b0dd3725b7846e9bbdd75aab1d8e758_1692283406769979786.webp
71;Udang Tepung Kecap;29.100;Cumi Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620302685480/detail/menueditor_item_49979827e0124c16ba9f8a91d1f212cb_1692283425687882974.webp
72;Udang Tepung Saus Tiram;29.100;Cumi Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620324503184/detail/menueditor_item_20990c4ccaa54634821d57b010ef2b53_1692283441121597288.webp
73;Udang Tepung Rica;29.100;Request Bila Minta Panas;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620312052127/detail/menueditor_item_ac7dcb72a9e84f54be2f8394e5258e16_1692283456411494113.webp
74;Udang Kuluyuk;29.100;Cumi Goreng Tepung Saus Rica/Padang;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620320177902/detail/menueditor_item_f1097e2ec4f84d5082bd56927fb65c8b_1692283475752648590.webp
75;Cumi Tepung Mentega;29.100;Cumi Goreng Tepung Saus Tiram;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620332788547/detail/menueditor_item_349c03cae2e1469bbf849a3adcc11356_1692283494268924086.webp
76;Es Jeruk manis;9.000;Request Untuk Hangat/Panas;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620473713692/detail/menueditor_item_6c1041c259034b879f3f5e45dfaa1f38_1692283940192203664.webp
77;Cumi Tepung Kecap;29.100;Cumi Goreng Tepung Saus Asam Manis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620343622176/detail/menueditor_item_bfd53a30106548c9bb64222b7ac061f4_1692283512010736590.webp
78;Jeruk Hangat/Panas;9.000;Nasi Goreng+Udang+Cumi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620471592400/detail/0ccce32960774d68ba18b2aeec765009_1692507193124291779.webp
79;Cumi Tepung Rica;29.100;Nadi Goreng+Ayam+Bakso+Telor Campur+Telor Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620352222121/detail/menueditor_item_0848152ffc6e49c29eead2e29026ca31_1692283529515702828.webp
80;Cumi Tepung Saus Tiram;29.100;Nasi Goreng+Ayam+Udang+Cumi+Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620371853489/detail/menueditor_item_6ae48969c3b440c8adf34422fee38dad_1692283549477817950.webp
81;Nasi Putih 1 Porsi;6.600;Nasi Goreng+Daging Sapi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715284868928/detail/menueditor_item_5242a90f927c4742990afd3140b3f2a3_1692286027088449061.webp
82;Es Teh Manis;7.200;Nasi Goreng+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620455966488/detail/menueditor_item_bd0f965dfb45488392342d238678da48_1692283992516306691.webp
83;Teh Manis Hangat/Panas;7.200;Udang Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620453944974/detail/menueditor_item_5fbbc76926504fab9591d4b4651a0894_1692284012385194535.webp
84;Cumi Kuluyuk;29.100;Nasi Goreng Siram Saus Mentega Isi Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620375785139/detail/menueditor_item_ce7338956fd74f9d979c86c37d95c824_1692283565462889646.webp
85;Nasi Goreng Seafood;22.200;Nasi Goreng+Teri Medan+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617121831252/detail/menueditor_item_e60f90daee554cba8bc1ae8183fc6d29_1692205931251029673.webp
86;Nasi Goreng Spesial;19.800;Nasi Goreng+Ayam+Udang+Cumi+Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081616290665885/detail/menueditor_item_e8caf6f1df40489198c6dd678f414e66_1692203333835595876.webp
87;Nasi Goreng Campur;24.300;Nadi Goreng+Ayam+Bakso+Telor Campur+Telor Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617252074249/detail/menueditor_item_1c824c413b604a6196561f63e6437bca_1692206619595649206.webp
88;Nasi Goreng Sapi;23.100;Nasi Goreng+Udang+Cumi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617150065710/detail/menueditor_item_0468d4b98afe4aec978805f285a7c457_1692206081131891505.webp
89;Nasi Goreng Sosis;18.000;Nasi Goreng+Daging Sapi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617194624926/detail/menueditor_item_e562214ec10f4a65b1d0e2f7a8b01ebc_1692206302307722789.webp
90;Udang Tepung Mentega;29.100;Nasi Goreng+Teri Medan+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620295333218/detail/menueditor_item_3b0dd3725b7846e9bbdd75aab1d8e758_1692283406769979786.webp
91;Nasi Goreng Gila Seafood;21.900;Nasi Goreng+Ati+Ampla+Bakso+Krupuk. Gambar Hanya Pemanis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617334477853/detail/menueditor_item_de9673d6d22540ea81b609a3b15e2357_1692207221937191105.webp
92;Nasi Goreng Ikan Asin;22.500;Nasi Goreng+Ayam+Bakso+Telor Campur+Kerupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617222524771/detail/menueditor_item_a42eef778d6d435c9c6fa7a6f6b5bdeb_1692206422467188976.webp
